City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
puerto ayora,-0.7393,-90.3518,74.55,95.0,14.0,5.17,EC,1674625161.0
airai,-8.9266,125.4092,68.38,82.0,100.0,2.26,TL,1674625163.0
hermanus,-34.4187,19.2345,62.65,57.0,7.0,8.37,ZA,1674625163.0
tilichiki,60.4667,166.1,11.12,80.0,100.0,10.8,RU,1674625164.0
hobart,-42.8794,147.3294,82.22,63.0,95.0,1.01,AU,1674625164.0
butaritari,3.0707,172.7902,81.3,79.0,91.0,18.1,KI,1674625165.0
ponta do sol,32.6667,-17.1,59.63,50.0,5.0,9.46,PT,1674625166.0
mlonggo,-6.5333,110.7,82.36,76.0,100.0,11.63,ID,1674625167.0
mar del plata,-38.0023,-57.5575,67.08,72.0,100.0,14.0,AR,1674625167.0
kapaa,22.0752,-159.319,75.18,84.0,75.0,16.11,US,1674625168.0
brownsville,25.9018,-97.4975,62.96,60.0,100.0,5.75,US,1674624920.0
strezhevoy,60.7333,77.5889,5.11,95.0,100.0,11.86,RU,1674625169.0
mount isa,-20.7333,139.5,89.37,45.0,75.0,14.97,AU,1674625170.0
ushuaia,-54.8,-68.3,47.86,61.0,40.0,9.22,AR,1674625146.0
montepuez,-13.1256,38.9997,74.12,84.0,100.0,8.68,MZ,1674625171.0
tuktoyaktuk,69.4541,-133.0374,-4.0,77.0,100.0,12.66,CA,1674625172.0
vila velha,-20.3297,-40.2925,75.15,97.0,75.0,5.01,BR,1674625173.0
albany,42.6001,-73.9662,32.41,92.0,75.0,4.03,US,1674624615.0
teguise,29.0605,-13.564,55.62,63.0,20.0,13.8,ES,1674625174.0
khatanga,71.9667,102.5,-22.61,86.0,100.0,4.21,RU,1674625174.0
khorixas,-20.3667,14.9667,67.96,49.0,40.0,5.75,NA,1674625175.0
ballina,-28.8667,153.5667,90.79,73.0,33.0,14.16,AU,1674625176.0
ashdod,31.8167,34.65,48.49,65.0,0.0,7.58,IL,1674625127.0
terrace,54.5163,-128.6035,40.91,100.0,100.0,6.91,CA,1674625177.0
westport,41.1415,-73.3579,36.95,66.0,0.0,5.75,US,1674625177.0
agnibilekrou,7.1344,-3.2047,68.9,98.0,49.0,1.74,CI,1674625178.0
attawapiskat,,,,,,,,
opuwo,-18.0607,13.84,67.26,64.0,33.0,2.06,NA,1674625179.0
punta arenas,-53.15,-70.9167,51.91,46.0,75.0,13.8,CL,1674625180.0
anyang,36.0994,114.3289,34.02,13.0,71.0,12.62,CN,1674625181.0
arrifes,37.7667,-25.7,55.65,77.0,75.0,6.91,PT,1674625182.0
segou,13.4317,-6.2157,76.12,20.0,69.0,6.58,ML,1674625182.0
vuktyl,63.8567,57.3094,9.37,96.0,100.0,7.29,RU,1674625183.0
buchanan,5.8808,-10.0467,75.76,88.0,84.0,6.96,LR,1674625184.0
gijon,43.5357,-5.6615,41.99,94.0,78.0,3.0,ES,1674625103.0
san policarpo,12.1791,125.5072,81.09,70.0,51.0,16.89,PH,1674625185.0
ilulissat,69.2167,-51.1,17.62,62.0,98.0,18.41,GL,1674625185.0
achisay,,,,,,,,
oranjestad,12.524,-70.027,78.91,79.0,60.0,3.0,AW,1674625186.0
belushya guba,,,,,,,,
culpeper,38.5004,-77.9664,38.19,75.0,0.0,1.01,US,1674625123.0
rawson,-43.3002,-65.1023,63.03,34.0,0.0,10.2,AR,1674625188.0
barentsburg,,,,,,,,
yulara,-25.2406,130.9889,100.99,13.0,76.0,5.57,AU,1674625189.0
barra do garcas,-15.89,-52.2567,69.94,98.0,83.0,2.06,BR,1674625189.0
porto novo,6.4965,2.6036,76.17,93.0,50.0,3.24,BJ,1674625190.0
itaituba,-4.2761,-55.9836,71.24,99.0,100.0,0.76,BR,1674625190.0
puerto real,36.5282,-6.1901,36.25,80.0,0.0,6.91,ES,1674625191.0
mantua,45.1667,10.7833,42.06,91.0,100.0,3.0,IT,1674625192.0
manicore,-5.8092,-61.3003,72.16,99.0,100.0,2.15,BR,1674625192.0
playa vicente,17.8333,-95.8167,69.62,87.0,5.0,2.06,MX,1674625198.0
vaini,-21.2,-175.2,84.36,74.0,20.0,5.75,TO,1674625198.0
georgetown,5.4112,100.3354,85.93,75.0,20.0,6.91,MY,1674625042.0
hithadhoo,-0.6,73.0833,81.77,75.0,98.0,11.77,MV,1674625199.0
busselton,-33.65,115.3333,82.6,37.0,1.0,6.2,AU,1674625200.0
pacific grove,36.6177,-121.9166,50.65,78.0,0.0,3.44,US,1674624969.0
atuona,-9.8,-139.0333,78.49,78.0,13.0,17.05,PF,1674625201.0
constitucion,-35.3333,-72.4167,55.8,75.0,0.0,10.54,CL,1674625202.0
deputatskiy,69.3,139.9,-36.92,98.0,82.0,0.98,RU,1674625202.0
mataura,-46.1927,168.8643,65.61,55.0,32.0,7.65,NZ,1674625203.0
norsup,-16.0667,167.3833,84.13,75.0,11.0,9.69,VU,1674625203.0
qaanaaq,77.484,-69.3632,5.4,64.0,93.0,9.8,GL,1674625204.0
thompson,55.7435,-97.8558,-3.84,77.0,100.0,3.44,CA,1674625205.0
brae,60.3964,-1.353,45.64,81.0,87.0,26.22,GB,1674625205.0
mandalgovi,45.7625,106.2708,4.35,51.0,100.0,14.9,MN,1674625206.0
sioux lookout,50.1001,-91.917,6.87,85.0,100.0,4.61,CA,1674625076.0
te anau,-45.4167,167.7167,69.91,36.0,46.0,6.42,NZ,1674625207.0
rundu,-17.9333,19.7667,70.99,73.0,62.0,5.48,NA,1674625208.0
rikitea,-23.1203,-134.9692,79.21,80.0,44.0,17.83,PF,1674625208.0
meyungs,,,,,,,,
barrow,71.2906,-156.7887,-11.18,77.0,0.0,21.85,US,1674625203.0
longyearbyen,78.2186,15.6401,22.84,68.0,75.0,20.71,SJ,1674625210.0
saint-georges,12.0564,-61.7485,76.68,78.0,20.0,8.05,GD,1674625210.0
avarua,-21.2078,-159.775,80.65,78.0,35.0,4.61,CK,1674625211.0
monastyrshchina,54.3496,31.838,23.83,84.0,58.0,2.57,RU,1674625212.0
camacha,33.0833,-16.3333,56.62,58.0,40.0,16.11,PT,1674625212.0
linxia,35.6003,103.2064,26.73,31.0,62.0,4.94,CN,1674625213.0
muzquiz,,,,,,,,
tyrma,50.0833,132.1667,-14.91,75.0,67.0,6.42,RU,1674625214.0
talnakh,69.4865,88.3972,-7.8,98.0,100.0,13.96,RU,1674625215.0
bluff,-46.6,168.3333,60.67,72.0,20.0,9.78,NZ,1674625215.0
cidreira,-30.1811,-50.2056,74.41,89.0,12.0,9.42,BR,1674625216.0
lingao,19.9103,109.6859,62.56,68.0,79.0,16.26,CN,1674625217.0
codrington,-38.2667,141.9667,71.29,48.0,21.0,20.29,AU,1674625218.0
axim,4.8699,-2.2405,78.17,87.0,5.0,4.29,GH,1674625218.0
puerto escondido,15.85,-97.0667,74.23,83.0,0.0,0.0,MX,1674625219.0
grand river south east,,,,,,,,
shakhtinsk,49.71,72.5872,5.0,91.0,63.0,7.65,KZ,1674625220.0
saint-joseph,-21.3667,55.6167,79.18,90.0,100.0,9.53,RE,1674625221.0
taolanaro,,,,,,,,
karaul,,,,,,,,
port elizabeth,-33.918,25.5701,67.1,68.0,0.0,11.5,ZA,1674625222.0
boa vista,2.8197,-60.6733,71.58,78.0,0.0,3.44,BR,1674625223.0
tasiilaq,65.6145,-37.6368,23.16,65.0,74.0,5.88,GL,1674625083.0
ancud,-41.8697,-73.8203,52.18,85.0,54.0,3.56,CL,1674625224.0
madang,-5.2246,145.7966,84.56,69.0,96.0,6.89,PG,1674625224.0
