City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mar del plata,-38.0023,-57.5575,66.22,73.0,0.0,15.01,AR,1674628165.0
chara,56.9064,118.2631,-16.06,95.0,100.0,1.5,RU,1674628165.0
beringovskiy,63.05,179.3167,-12.71,94.0,83.0,13.27,RU,1674628166.0
qaanaaq,77.484,-69.3632,4.75,65.0,87.0,9.69,GL,1674628167.0
san cristobal,7.7669,-72.225,63.99,79.0,46.0,2.64,VE,1674628167.0
southbridge,42.0751,-72.0334,32.11,93.0,54.0,4.65,US,1674628039.0
zhezkazgan,47.8043,67.7144,-4.02,84.0,40.0,4.47,KZ,1674628168.0
fortuna,40.5982,-124.1573,44.98,97.0,0.0,5.75,US,1674628169.0
buzmeyin,38.0507,58.2056,33.53,51.0,9.0,4.61,TM,1674628170.0
atuona,-9.8,-139.0333,78.96,77.0,13.0,17.25,PF,1674628170.0
saskylakh,71.9167,114.0833,-13.2,98.0,100.0,5.46,RU,1674628171.0
longyearbyen,78.2186,15.6401,22.84,63.0,40.0,10.36,SJ,1674628172.0
yeppoon,-23.1333,150.7333,89.38,64.0,3.0,9.93,AU,1674628172.0
jonuta,18.0833,-92.1333,72.3,75.0,30.0,9.31,MX,1674628173.0
korla,41.7597,86.1469,17.33,52.0,36.0,2.98,CN,1674628173.0
nouakchott,18.0858,-15.9785,60.73,62.0,98.0,6.55,MR,1674627917.0
fort nelson,58.8053,-122.7002,15.39,86.0,75.0,4.61,CA,1674628175.0
karaul,,,,,,,,
tasiilaq,65.6145,-37.6368,19.56,66.0,77.0,6.02,GL,1674628176.0
rikitea,-23.1203,-134.9692,79.05,80.0,47.0,17.09,PF,1674628176.0
mugur-aksy,50.35,90.5,1.92,66.0,100.0,5.19,RU,1674628177.0
butaritari,3.0707,172.7902,81.16,78.0,98.0,18.57,KI,1674628177.0
arraial do cabo,-22.9661,-42.0278,74.66,91.0,100.0,12.24,BR,1674628178.0
gazanjyk,39.2446,55.5154,34.66,30.0,2.0,2.53,TM,1674628179.0
saint-philippe,-21.3585,55.7679,81.99,90.0,100.0,12.24,RE,1674628179.0
mys shmidta,,,,,,,,
katsuura,35.1333,140.3,36.64,24.0,59.0,7.52,JP,1674628180.0
vaini,-21.2,-175.2,82.56,78.0,20.0,5.75,TO,1674628181.0
kedrovyy,56.1667,91.8167,7.21,92.0,100.0,4.03,RU,1674628182.0
neryungri,56.6709,124.6491,-19.1,90.0,100.0,3.36,RU,1674628183.0
potam,27.6,-110.3833,54.18,29.0,64.0,11.88,MX,1674628184.0
pizarro,4.9533,-77.366,75.87,92.0,82.0,6.13,CO,1674628184.0
sentyabrskiy,,,,,,,,
busselton,-33.65,115.3333,82.11,38.0,2.0,6.62,AU,1674628185.0
uruzgan,32.8333,66.0,26.38,38.0,0.0,5.73,AF,1674628186.0
bengkulu,-3.8004,102.2655,82.81,65.0,98.0,7.16,ID,1674627904.0
biak,-0.9131,122.8766,82.02,72.0,100.0,2.1,ID,1674628187.0
sug-aksy,,,,,,,,
leningradskiy,69.3833,178.4167,-24.39,94.0,40.0,8.66,RU,1674628188.0
ushuaia,-54.8,-68.3,49.66,62.0,75.0,21.85,AR,1674627908.0
bilopillya,51.1502,34.3129,24.78,78.0,0.0,2.55,UA,1674628189.0
belushya guba,,,,,,,,
parrita,9.5201,-84.3225,75.52,83.0,67.0,3.53,CR,1674628190.0
barrow,71.2906,-156.7887,-11.18,70.0,0.0,19.57,US,1674628191.0
kalmunai,7.4167,81.8167,80.98,67.0,94.0,11.03,LK,1674628192.0
tuktoyaktuk,69.4541,-133.0374,-4.0,77.0,100.0,12.66,CA,1674628192.0
sitka,57.0531,-135.33,48.09,87.0,100.0,6.91,US,1674628193.0
georgetown,5.4112,100.3354,85.95,74.0,20.0,8.05,MY,1674628060.0
saint george,37.1041,-113.5841,36.43,54.0,0.0,6.91,US,1674627998.0
punta arenas,-53.15,-70.9167,51.91,46.0,75.0,23.02,CL,1674628195.0
ostersund,63.1792,14.6357,41.61,81.0,0.0,14.97,SE,1674628200.0
